Title,Material,Color,Price,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,Images
Oliviero,Suede,Brown,325,,,,,,,,,,,,,,, OLIVIERO Brown.JPG
Oliviero,Suede,Olive,325,,,,,,,,,,,,,,, OLIVIERO Olive.JPG
Pietro,Calf,Cognac/Orange,325,,,X,X,X,X,X,X,X,X,X,X,,, Pietro Cognac-Orange.jpg
Pietro,Calf,Cognac/Navy,325,,,X,X,X,,,,,,,,,, Pietro Cognac-Navy.jpg
Remo,Calf/Calf Embossed,Black/Grey,349,,,,,,,,,,,,,,, REMO Black-Grey.JPG
Remo,Calf/Calf Embossed,Cognac/Chocolate,349,,,,,X,X,,X,,X,X,X,,, REMO Cognac-Brown.JPG
Renato,Calf,Black,325,,,,,X,,X,,,X,X,,,, RENATO Black.JPG
Renato,Calf,Purple,325,,,,,,,,,,,,,,, RENATO Purple.jpg
Renato,Calf,Taupe,325,,,X,X,X,,X,,,,,X,,, RENATO Taupe.JPG
Riccardo,Calf,Black,335,,,X,X,X,X,X,X,,,,X,,, RICCARDO Black.JPG
Riccardo,Calf,Cognac,335,,,X,X,X,X,X,,X,,X,X,X,, RICCARDO Cognac.JPG
Salvatore,Calf/Calf Embossed,Cognac,345,,,X,,X,,X,,X,,X,X,X,, SALVATORE Cognac.jpg
Sandro,Calf,Burgundy,335,,,,,X,X,X,,X,,X,X,X,, SANDRO Burgundy.JPG
Sandro,Calf,Cognac,335,,,X,,,,X,,,,,,,, SANDRO Cognac.JPG
Silvio,Calf/Calf Embossed,Cognac/Navy,345,,,X,,X,,X,,X,,X,X,,, SILVIO Cognac-Navy.jpg
Tonio,Suede,Black,335,,,,,,,,,,,,,,, TONIO Black-Red.jpg
Tonio,Suede,Navy,335,,,,,,,,,,,,,,, TONIO Navy-Red.jpg
Uberto,Suede,Black,325,,,,,,,,,,,,,,, UBERTO Black.jpg
Uberto,Suede,Chocolate,325,,,,,,,,,,,,,,, UBERTO Brown.jpg
Uberto,Suede,Navy,325,,,,,,,,,,,,,,, UBERTO Navy.jpg
Valerio,Calf,Black Combo,365,,,,,,,,,,,,,,, VALERIO Black Combo.jpg
Valerio,Calf,Blue Combo,365,,,,X,,X,,X,X,X,X,,,, VALERIO Blue Combo.jpg
Valerio,Calf,Brown Combo,365,,,,,,,,,,,,,,, VALERIO Brown Combo.jpg
Valerio,Calf,Burgundy Combo,365,,,,,,,,,,,,,,, VALERIO Burgundy Combo.jpg
Valerio,Calf,Green Combo,365,,,,,,,,,,,,,,, VALERIO Green Combo.jpg
Valerio,Calf,Pink Combo,365,,,X,X,X,X,X,X,X,X,X,X,X,, VALERIO Pink Combo.jpg
Vito,Calf,Light Blue/Navy,355,,,X,,X,X,X,,X,X,X,X,X,, VITO Light Blue-Navy.jpg
Vito,Calf,Light Taupe/Dark Brown,355,,,X,X,X,X,X,X,X,X,X,X,X,, VITO Light Taupe-Dark Brown.jpg
EF99,Velvet/Suede,Black,365,,,,,,,,,,,,,,,EF99 Black.jpg
EF99,Velvet/Suede,Blue,365,,,,,,,,,,,,,,,EF99 Blue.jpg
EF99,Velvet/Suede,Cognac,365,,,,,,,,,,,,,,,EF99 Cognac.jpg
EF286,Velvet,Black/Gold,365,,,X,X,,X,,,X,X,X,,,,EF286 black gold.jpg
EF286,Velvet,Black/Silver,365,,,,,,,,,,,,,,,EF286 black silver.jpg
EF286,Velvet,Burgundy/Gold,365,,,X,,X,,X,X,,,,X,,,EF286 burgundy gold.jpg
EF286,Velvet,Navy/Silver,365,,,X,,X,,,,,,X,X,,,EF286 navy silver.jpg
EF13P,Velvet,Black/Gold,369,,,X,X,X,X,X,X,,,,X,,,EF13P Black.jpg
EF13P,Velvet,Burgundy/Gold,369,,,,,X,,,,,X,,,,,EF13P Burgundy.jpg
EF102,Suede,Black,365,,,X,,,,X,,,,,,,,EF102 black.jpg
EF102,Suede,Green,365,,,X,,X,,X,,,,,X,X,,EF102 green.jpg
EF102,Suede,Navy,365,,,,,X,,,,,,,X,,,EF102 navy.jpg
EF102,Suede,Red,365,,,,,X,,,,,X,,,X,,EF102 red.jpg
