Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Online Brite Creations,Retail Brite Creations
danilo,Danilo,Size,11,Color,Cognac,,,danilo-11-cognac,0,0
danilo,Danilo,Size,11.5,Color,Cognac,,,danilo-11.5-cognac,0,0
danilo,Danilo,Size,12,Color,Cognac,,,danilo-12-cognac,0,0
danilo,Danilo,Size,13,Color,Cognac,,,danilo-13-cognac,0,0
danilo,Danilo,Size,14,Color,Cognac,,,danilo-14-cognac,0,0
danilo,Danilo,Size,15,Color,Cognac,,,danilo-15-cognac,0,0
dante,Dante,Size,7,Color,Black/Grey,,,dante-7-black/grey,0,0
dante,Dante,Size,7.5,Color,Black/Grey,,,dante-7.5-black/grey,0,0
dante,Dante,Size,8,Color,Black/Grey,,,dante-8-black/grey,1,0
dante,Dante,Size,8.5,Color,Black/Grey,,,dante-8.5-black/grey,1,0
dante,Dante,Size,9,Color,Black/Grey,,,dante-9-black/grey,0,0
dante,Dante,Size,9.5,Color,Black/Grey,,,dante-9.5-black/grey,1,0
dante,Dante,Size,10,Color,Black/Grey,,,dante-10-black/grey,0,0
dante,Dante,Size,10.5,Color,Black/Grey,,,dante-10.5-black/grey,1,0
dante,Dante,Size,11,Color,Black/Grey,,,dante-11-black/grey,1,0
dante,Dante,Size,11.5,Color,Black/Grey,,,dante-11.5-black/grey,1,0
dante,Dante,Size,12,Color,Black/Grey,,,dante-12-black/grey,1,0
dante,Dante,Size,13,Color,Black/Grey,,,dante-13-black/grey,1,0
dante,Dante,Size,14,Color,Black/Grey,,,dante-14-black/grey,0,0
dante,Dante,Size,15,Color,Black/Grey,,,dante-15-black/grey,0,0
dario,Dario,Size,7,Color,Cognac/Brown,,,dario-7-cognac/brown,0,0
dario,Dario,Size,7.5,Color,Cognac/Brown,,,dario-7.5-cognac/brown,0,0
dario,Dario,Size,8,Color,Cognac/Brown,,,dario-8-cognac/brown,1,0
dario,Dario,Size,8.5,Color,Cognac/Brown,,,dario-8.5-cognac/brown,0,0
dario,Dario,Size,9,Color,Cognac/Brown,,,dario-9-cognac/brown,1,0
dario,Dario,Size,9.5,Color,Cognac/Brown,,,dario-9.5-cognac/brown,0,0
dario,Dario,Size,10,Color,Cognac/Brown,,,dario-10-cognac/brown,0,0
