Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
202,,,,,,,,46,,Navy,,Seude 40MM,202-46-navy-seude 40mm-seude 40mm,0.0,shopify,deny,manual,115.00,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Navy_50f63857-5866-41e7-bf5a-e1264136097c.jpg?v=1602452618,lb,,,
202,,,,,,,,46,,Red,,Seude 40MM,202-46-red-seude 40mm-seude 40mm,0.0,shopify,deny,manual,115.00,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Red.jpg?v=1602452618,lb,,,
b40,B40 Belt Buckle,"<ul>
<li>
<b>Vendor: </b> Emilio Franco </li>
<li>
<b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",Emilio Franco,Belt Buckle,"color:Antique Rose/Gold, color:Black/Gold, color:Black/Silver, color:Green/Gold, color:Navy/Gold, color:Navy/Silver, color:White/Gold, size:46",true,Size,46,Color,Black/Gold,,,b40-46-black/gold,0.0,shopify,deny,manual,75.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20Black_20Gold_3b9b60dc-5e66-44d6-ade1-146d4fb1f3a5.jpg?v=1602452668,1,B40 Black/Gold,false,Brite Creations | B40 Belt Buckle by Emilio Franco,"Shop at Brite Creations Atlanta for the best deal on B40 Belt Buckle by Emilio Franco
<ul>
<li><b>Vendor: </b> Emilio Franco </li>
<li><b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20Black_20Gold_3b9b60dc-5e66-44d6-ade1-146d4fb1f3a5.jpg?v=1602452668,lb,,,active
b40,,,,,,,,46,,Black/Silver,,,b40-46-black/silver,0.0,shopify,deny,manual,75.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20Black_20Silver_57864226-05cb-4786-a454-e321a52e0a25.jpg?v=1602452668,2,B40 Black/Silver,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20Black_20Silver_57864226-05cb-4786-a454-e321a52e0a25.jpg?v=1602452668,lb,,,
b40,,,,,,,,46,,Navy/Gold,,,b40-46-navy/gold,0.0,shopify,deny,manual,75.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20navy_20gold_8a6fe87f-c16b-439d-b76d-e645de00ae7c.jpg?v=1602452668,3,B40 Navy/Gold,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20navy_20gold_8a6fe87f-c16b-439d-b76d-e645de00ae7c.jpg?v=1602452668,lb,,,
b40,,,,,,,,46,,Navy/Silver,,,b40-46-navy/silver,0.0,shopify,deny,manual,75.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20navy_20silver_a9fe4d57-858d-4082-9711-43d832216fbe.jpg?v=1602452669,4,B40 Navy/Silver,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20navy_20silver_a9fe4d57-858d-4082-9711-43d832216fbe.jpg?v=1602452669,lb,,,
b40,,,,,,,,46,,Green/Gold,,,b40-46-green/gold,0.0,shopify,deny,manual,75.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20Green_20Gold_fd038b8e-85ee-4846-9424-121e8d47cad9.jpg?v=1602452669,5,B40 Green/Gold,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20Green_20Gold_fd038b8e-85ee-4846-9424-121e8d47cad9.jpg?v=1602452669,lb,,,
b40,,,,,,,,46,,White/Gold,,,b40-46-white/gold,0.0,shopify,deny,manual,75.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20white_20gold_b2965449-1c76-4a3c-b2c2-5a29eb849b63.jpg?v=1602452669,6,B40 White/Gold,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20white_20gold_b2965449-1c76-4a3c-b2c2-5a29eb849b63.jpg?v=1602452669,lb,,,
b40,,,,,,,,46,,Antique Rose/Gold,,,b40-46-antiquerose/gold,0.0,shopify,deny,manual,75.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20red_20gold_5cffaf0d-4bcb-4a58-9638-964a3623331e.jpg?v=1602452669,7,B40 Antique Rose/Gold,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20red_20gold_5cffaf0d-4bcb-4a58-9638-964a3623331e.jpg?v=1602452669,lb,,,
b40,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/B40_20belt_3ce2e695-f4fd-4671-b1f9-310beecb0d1e.jpg?v=1602452669,8,,,,,,,,,,,,,,,,,,,,,,
201,201,"<ul>
<li>
<b>Vendor: </b> Emilio Franco </li>
<li>
<b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",Emilio Franco,Belt,"color:Antique Red, color:Brandy, color:Burgundy, color:Chocolate, color:Cognac, color:Dark Grey, color:Fuscia, color:Light Blue, color:Navy, color:Ocean Blue, color:Pink, color:Purple, color:Teal, size:46",true,Size,46,Color,Antique Red,,,201-46-antiquered,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Antique_20Red_5645f4ae-c675-4ddb-83b8-d231bd978a8c.jpg?v=1602452605,1,201 Antique Red,false,Brite Creations | 201 Belt by Emilio Franco,"Shop at Brite Creations Atlanta for the best deal on 201 Belt by Emilio Franco
<ul>
<li><b>Vendor: </b> Emilio Franco </li>
<li><b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Antique_20Red_5645f4ae-c675-4ddb-83b8-d231bd978a8c.jpg?v=1602452605,lb,,,active
201,,,,,,,,46,,Brandy,,,201-46-brandy,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Brandy_173b179d-ddf9-47bb-9062-4bcc772ebf28.jpg?v=1602452605,2,201 Brandy,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Brandy_173b179d-ddf9-47bb-9062-4bcc772ebf28.jpg?v=1602452605,lb,,,
201,,,,,,,,46,,Burgundy,,,201-46-burgundy,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Burgundy_0690a49a-d7b0-46e0-90b1-6af123f4fc28.jpg?v=1602452605,3,201 Burgundy,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Burgundy_0690a49a-d7b0-46e0-90b1-6af123f4fc28.jpg?v=1602452605,lb,,,
201,,,,,,,,46,,Chocolate,,,201-46-chocolate,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Chocolate_7e644d57-704b-4c85-9d51-855dd875aa91.jpg?v=1602452605,4,201 Chocolate,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Chocolate_7e644d57-704b-4c85-9d51-855dd875aa91.jpg?v=1602452605,lb,,,
201,,,,,,,,46,,Cognac,,,201-46-cognac,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Cognac_26262662-9875-44d8-865a-ec7d47d270d9.jpg?v=1602452605,5,201 Cognac,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Cognac_26262662-9875-44d8-865a-ec7d47d270d9.jpg?v=1602452605,lb,,,
201,,,,,,,,46,,Dark Grey,,,201-46-darkgrey,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Dark_20Grey_de984f49-7687-4c6d-ac70-c783a0ac62b8.jpg?v=1602452605,6,201 Dark Grey,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Dark_20Grey_de984f49-7687-4c6d-ac70-c783a0ac62b8.jpg?v=1602452605,lb,,,
201,,,,,,,,46,,Fuscia,,,201-46-fuscia,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Fuscia_17370e93-ee1b-4baf-9151-2b7cba847950.jpg?v=1602452605,7,201 Fuscia,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Fuscia_17370e93-ee1b-4baf-9151-2b7cba847950.jpg?v=1602452605,lb,,,
201,,,,,,,,46,,Light Blue,,,201-46-lightblue,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Light_20Blue_d7f42444-488d-4a4d-bdab-076b7a7cd60b.jpg?v=1602452606,8,201 Light Blue,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Light_20Blue_d7f42444-488d-4a4d-bdab-076b7a7cd60b.jpg?v=1602452606,lb,,,
201,,,,,,,,46,,Navy,,,201-46-navy,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Navy_95eec7a8-9099-46e4-b2b0-3ec8789f2e8e.jpg?v=1602452606,9,201 Navy,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Navy_95eec7a8-9099-46e4-b2b0-3ec8789f2e8e.jpg?v=1602452606,lb,,,
201,,,,,,,,46,,Ocean Blue,,,201-46-oceanblue,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Ocean_20Blue_43c6d262-f534-40e0-b475-2308f84e686f.jpg?v=1602452606,10,201 Ocean Blue,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Ocean_20Blue_43c6d262-f534-40e0-b475-2308f84e686f.jpg?v=1602452606,lb,,,
201,,,,,,,,46,,Pink,,,201-46-pink,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Pink_0391b07e-d6a0-4678-a79f-b5e61bf2538d.jpg?v=1602452606,11,201 Pink,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Pink_0391b07e-d6a0-4678-a79f-b5e61bf2538d.jpg?v=1602452606,lb,,,
201,,,,,,,,46,,Purple,,,201-46-purple,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Purple_f089cbbe-5c7d-4eed-9375-ff54460b219b.jpg?v=1602452606,12,201 Purple,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Purple_f089cbbe-5c7d-4eed-9375-ff54460b219b.jpg?v=1602452606,lb,,,
201,,,,,,,,46,,Teal,,,201-46-teal,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Teal_f8f1743f-bcfa-4522-b0ef-61cc49bf3e23.jpg?v=1602452606,13,201 Teal,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/201_20Teal_f8f1743f-bcfa-4522-b0ef-61cc49bf3e23.jpg?v=1602452606,lb,,,
cufflink,Cufflink,"<ul>
<li>
<b>Vendor: </b> Emilio Franco </li>
<li>
<b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",Emilio Franco,Cufflink,"color:Black/Gold, color:Black/Silver, color:Burgundy/Gold, color:Navy/Silver, color:Olive/Gold, color:Red/Gold, color:White/Gold, color:White/Silver, size:46",true,Size,46,Color,Black/Gold,,,cufflink-46-black/gold,0.0,shopify,deny,manual,75.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/Cufflink_20Black_20Gold.jpg?v=1602452682,1,Cufflink Black/Gold,false,Brite Creations | Cufflink Cufflink by Emilio Franco,"Shop at Brite Creations Atlanta for the best deal on Cufflink Cufflink by Emilio Franco
<ul>
<li><b>Vendor: </b> Emilio Franco </li>
<li><b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/Cufflink_20Black_20Gold.jpg?v=1602452682,lb,,,active
cufflink,,,,,,,,46,,Black/Silver,,,cufflink-46-black/silver,0.0,shopify,deny,manual,55.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/Cufflink_20Black_20Silver.jpg?v=1602452682,2,Cufflink Black/Silver,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/Cufflink_20Black_20Silver.jpg?v=1602452682,lb,,,
cufflink,,,,,,,,46,,Burgundy/Gold,,,cufflink-46-burgundy/gold,0.0,shopify,deny,manual,55.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/CUfflink_20Burgundy_20Gold.jpg?v=1602452682,3,Cufflink Burgundy/Gold,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/CUfflink_20Burgundy_20Gold.jpg?v=1602452682,lb,,,
cufflink,,,,,,,,46,,Olive/Gold,,,cufflink-46-olive/gold,0.0,shopify,deny,manual,55.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/Cufflink_20Olive_20Gold.jpg?v=1602452682,4,Cufflink Olive/Gold,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/Cufflink_20Olive_20Gold.jpg?v=1602452682,lb,,,
cufflink,,,,,,,,46,,Navy/Silver,,,cufflink-46-navy/silver,0.0,shopify,deny,manual,55.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/Cufflink_20Navy_20Silver.jpg?v=1602452682,5,Cufflink Navy/Silver,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/Cufflink_20Navy_20Silver.jpg?v=1602452682,lb,,,
cufflink,,,,,,,,46,,Red/Gold,,,cufflink-46-red/gold,0.0,shopify,deny,manual,55.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/Cufflink_20Red_20Gold.jpg?v=1602452682,6,Cufflink Red/Gold,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/Cufflink_20Red_20Gold.jpg?v=1602452682,lb,,,
cufflink,,,,,,,,46,,White/Gold,,,cufflink-46-white/gold,0.0,shopify,deny,manual,55.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/Cufflink_20White_20Gold.jpg?v=1602452682,7,Cufflink White/Gold,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/Cufflink_20White_20Gold.jpg?v=1602452682,lb,,,
