Title,Material,Color,Price,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,Images
Rieti,Calf,Cognac/Brown,199,,,X,,X,X,X,X,X,X,X,X,,,RIETI Cognac-Brown.jpg
Rieti,Calf,Lavender/Purple,199,,,X,,X,,X,,X,,X,X,,,RIETI Lavender-Purple.jpg
Rieti,Calf,L. Blue/Navy,199,,,X,X,X,X,X,,,X,,,,,RIETI L. Blue-Navy.jpg
Rieti,Calf,Pink/Fuscia,199,,,,,,,,,,,,,X,,RIETI Pink-Fuscia.JPG
Roma,Calf,Brandy/L. Blue,199,,,,,,,,,,,,,,,ROMA Brandy-L. Blue.jpg
Roma,Calf,Camel/Neutro,199,,,,,,,,,,,,,,,ROMA Camel-Neutro.jpg
Roma,Calf,Navy/Red,199,,,X,,X,,,,,,,,,,ROMA Navy-Red.jpg
Rovigo,Calf,Cognac,189,,,X,,X,,X,,X,,X,X,X,,ROVIGO Cognac.jpg
Rovigo,Calf,Grey,189,,,X,,X,,X,,X,,X,X,X,,ROVIGO Grey.jpg
Savona,Calf,Cognac/Bone,199,,,,X,X,X,X,X,X,X,X,X,X,,SAVONA Cognac-Bone.jpg
Savona,Calf,Bordo/Bone,199,,,X,,X,,X,,X,,X,X,,,SAVONA Bordo-Bone.jpg
Scala,Patent/Velvet,Black/Silver,210,X,,X,X,X,X,X,X,X,X,X,X,X,,SCALA Black-Silver.jpg
Scala,Patent/Velvet,Black/Gold,210,X,X,X,X,X,X,X,,X,,X,X,X,,SCALA Black-Gold.jpg
Scala,Patent/Velvet,Blue/Silver,210,X,,X,X,X,X,X,X,X,X,X,X,X,,SCALA Navy-Silver.jpg
Scala,Patent/Velvet,Burgundy/Gold,210,X,,X,,X,,X,,X,,X,X,X,,SCALA Burgundy-Gold.jpg
Scala,Patent/Velvet,Red/Gold,210,X,X,X,X,X,X,X,X,X,X,X,X,,,SCALA Red-Gold.jpg
Scala,Patent/Velvet,White/Gold,210,X,X,X,X,X,X,X,X,X,X,X,X,X,,SCALA White-Gold.jpg
Siena,Calf,Antique Red,189,,,X,,,,X,,X,,,,,,SIENA Antique Red.JPG
Siena,Calf,Black,189,,,X,,,,X,,X,,X,X,,,SIENA Black.JPG
Siena,Calf,Chocolate,189,X,,X,X,,,X,,X,,X,X,,,SIENA Chocolate.JPG
Siena,Calf,Grey,189,,,X,,,X,X,,X,,X,X,,,SIENA Grey.JPG
Siena,Calf,Navy,189,,,X,X,X,,,,X,,X,X,,,SIENA Navy.JPG
Siena,Calf,Olive,189,,,X,,X,,X,X,X,,,X,,,SIENA Olive.JPG
Sora,Calf,Black,199,,,X,,X,,X,,X,,X,,,,SORA Black.JPG
Sora,Calf,Grey,199,,,X,,X,,X,,X,,X,X,,,SORA Grey.jpg
Sora,Calf,Jeans,199,,,X,X,,,,,,,,X,,,SORA Jeans.JPG
Sora,Calf,Taupe,199,,,X,,X,,X,,X,,X,X,,,SORA Taupe.JPG
Teramo,Calf/Calf Croc Print,Brown/Cognac,199,,,X,,X,,X,X,X,X,X,X,X,,TERAMO Brown-Cognac.jpg
Teramo,Calf/Calf Croc Print,Cognac/L. Blue,199,,,X,,X,,X,X,X,X,X,X,X,,TERAMO Cognac-L. Blue.jpg
Terni,Calf,Black/Grey,189,,,,,,,,,,,,,,,TERNI Black-Grey.jpg
Terni,Calf,Brown/Cognac,189,,,X,,X,,X,,X,,X,X,X,,TERNI Brown-Cognac.jpg
Tivoli,Calf,Cognac/Chocolate,199,,,X,X,X,,,,,,,,,,TIVOLI Cognac-Chocolate.jpg
Tivoli,Calf,L. Blue/Blue,199,,,,,X,,,,,,,,,,TIVOLI Blue-L. Blue.jpg
Torino,Calf,Black Combo,199,,,X,,,,X,,,,X,X,X,X,TORINO Black Combination.JPG
Torino,Calf,Pink Combo,199,,,X,X,X,,,,,,,X,X,,Torino Pink Combination.JPG
Torino,Calf,Purple Combo,199,,,X,,X,,X,,X,,X,X,,,Torino Purple Combination.JPG
Torino,Calf,Yellow Combo,199,,,,X,,,,,,,,,,,Torino Yellow Combination.jpg
Treviso,Calf Print/Calf,Black,199,,,X,,X,X,X,X,X,X,X,X,X,,TREVISO Black.jpg
Treviso,Calf Print/Calf,Cognac,199,,,X,,X,X,X,X,X,X,X,X,X,,TREVISO Cognac.jpg
Treviso,Calf Print/Calf,Olive,199,,,X,,X,X,X,X,X,X,X,X,X,,TREVISO Olive.jpg
Trieste,Calf,Black,189,,,X,,X,,X,,X,,X,X,X,,TRIESTE Black.jpg
Trieste,Calf,Brown,189,,,,,,,,,,,,,,,TRIESTE Brown.jpg
Trieste,Calf,Blue,189,,,X,,X,,X,,X,,X,X,X,,TRIESTE Blue.jpg
Udine,Calf,Black,210,,,X,,X,X,X,X,,,X,X,,,UDINE Black.JPG
Udine,Calf,Cognac,210,,,X,,X,X,X,X,X,,X,X,,,UDINE Cognac.JPG
Varese,Calf,Black,189,,,X,,X,,X,,X,,X,X,X,,VARESE Black.jpg
Varese,Calf,Olive,189,,,X,,X,,X,,X,,X,X,X,,VARESE Olive.jpg
Varsi,Calf/Calf Croc Print,Antique Red,189,,,X,,X,,X,,X,,X,X,,,VARSI Antique Red.jpg
Varsi,Calf/Calf Croc Print,Cognac,189,,,X,,X,,X,,X,,X,,,,VARSI Cognac.jpg
Varsi,Calf/Calf Croc Print,Dark Grey,189,,,X,,X,,X,,X,,X,X,,,VARSI Dark Grey.jpg
Varsi,Calf/Calf Croc Print,Navy,189,,,X,,X,,X,,X,,X,X,,,VARSI Navy.jpg
